gene_name	length	exons
GJB2	2334	2
GJB3	3983	4
GJB4	2842	2
GJB5	1357	2
GJB6	2514	6
GJB7	2283	3
GJC1	7822	4
GJC2	2383	2
GJC3	1118	2
GJD2	1098	2
GJD3	4042	1
GJD4	1582	2
GK	4516	20
GK2	1867	1
GK3P	2233	1
GK5	10765	15
GKAP1	1807	12
GKN1	826	6
GKN2	806	6
GLA	1425	7
GLB1	2709	17
GLB1L	2858	18
GLB1L2	3175	20
GLB1L3	2964	20
GLCCI1	4801	8
GLCE	5048	5
GLDC	3752	24
GLDN	5093	10
GLE1	3621	17
GLG1	14057	28
GLI1	3849	14
GLI2	6595	12
GLI3	8229	15
GLI4	1347	4
GLIDR	6859	7
GLIPR1	3913	6
GLIPR1L1	1038	6
GLIPR1L2	3593	8
GLIPR2	4445	11
GLIS1	2826	10
GLIS2	3711	6
GLIS2-AS1	363	4
GLIS3	7779	12
GLIS3-AS1	732	2
GLMN	1965	18
GLMP	2133	8
GLO1	2052	6
GLOD4	1758	8
GLOD5	741	4
GLP1R	3136	13
GLP2R	4586	13
GLRA1	2282	10
GLRA2	4093	13
GLRA3	3684	10
GLRA4	2383	10
GLRB	3225	11
GLRX	3284	6
GLRX2	1795	6
GLRX3	1692	13
GLRX5	1173	2
GLS	7365	18
GLS2	2747	18
GLT1D1	2729	8
GLT6D1	1531	5
GLT8D1	3080	13
GLT8D2	1774	10
GLTP	2361	5
GLTPD2	1226	4
GLTSCR1	5754	15
GLTSCR1L	6527	12
GLTSCR2	1535	13
GLUD1	3268	11
GLUD1P3	4070	1
GLUD1P7	492	6
GLUD2	2336	1
GLUL	8570	9
GLYAT	2736	7
GLYATL1	2475	10
GLYATL2	1384	6
GLYATL3	2008	5
GLYCAM1	785	4
GLYCTK	8073	11
GLYCTK-AS1	1155	1
GLYR1	3842	17
GM140	262	3
GM2A	6764	6
GMCL1	2360	14
GMCL1P1	2924	1
GMDS	1772	12
GMDS-AS1	1595	7
GMEB1	2785	11
GMEB2	4220	10
GMFB	4081	6
GMFG	615	6
GMIP	3225	19
GML	727	4
GMNC	3629	5
GMNN	1655	10
GMPPA	1825	13
GMPPB	2289	10
GMPR	1524	9
GMPR2	4287	17
GMPS	2355	15
GNA11	4152	7
GNA12	5401	7
GNA13	6498	5
GNA14	2498	7
GNA14-AS1	708	5
GNA15	2301	7
GNAI1	3645	9
GNAI2	3306	13
GNAI3	4741	9
GNAL	7302	15
GNAO1	7779	10
GNAQ	6350	7
GNAS	7698	23
GNAS-AS1	1162	5
GNAT1	4904	10
GNAT2	1373	8
GNAT3	1073	8
GNAZ	3211	3
GNB1	3206	12
GNB1L	1527	8
GNB2	1674	10
GNB2L1	1005	7
GNB3	1740	10
GNB4	6438	10
GNB5	3151	13
GNE	5489	13
GNG10	2234	4
GNG11	956	2
GNG12	4413	4
GNG12-AS1	2139	9
GNG13	987	3
GNG2	3928	5
GNG3	954	3
GNG4	5317	5
GNG5	810	4
GNG7	4251	5
GNG8	215	2
GNGT1	631	3
GNGT2	1384	7
GNL1	7921	12
GNL2	2143	14
GNL3	2478	17
GNL3L	8799	17
GNLY	1175	7
GNMT	1074	6
GNPAT	2696	16
GNPDA1	2304	7
GNPDA2	2385	8
GNPNAT1	3934	6
GNPTAB	5564	20
GNPTG	1256	11
GNRH1	3137	5
GNRH2	857	7
GNRHR	5933	4
GNRHR2	2495	7
GNS	5142	14
GOLGA1	4711	21
GOLGA2	4178	25
GOLGA2P10	10088	12
GOLGA2P2Y	1071	9
GOLGA2P3Y	1071	9
GOLGA2P5	4504	17
GOLGA2P6	2896	12
GOLGA2P7	3363	7
GOLGA2P9	2043	10
GOLGA3	9756	26
GOLGA4	7977	25
GOLGA5	2753	12
GOLGA6A	3194	18
GOLGA6B	3196	18
GOLGA6C	5397	18
GOLGA6D	3467	18
GOLGA6L1	3831	9
GOLGA6L10	4459	10
GOLGA6L17P	1857	11
GOLGA6L2	3159	8
GOLGA6L22	6975	16
GOLGA6L3	1683	11
GOLGA6L4	4572	9
GOLGA6L5P	5481	10
GOLGA6L6	4021	12
GOLGA6L7P	1162	6
GOLGA6L9	4496	10
GOLGA7	2292	8
GOLGA7B	6453	5
GOLGA8A	6795	25
GOLGA8B	6788	25
GOLGA8CP	5116	16
GOLGA8DP	5255	17
GOLGA8EP	5185	17
GOLGA8F	4427	17
GOLGA8G	5116	16
GOLGA8H	5279	19
GOLGA8IP	1911	12
GOLGA8J	5218	19
GOLGA8K	5108	18
GOLGA8M	5275	19
GOLGA8N	5348	19
GOLGA8O	5208	19
GOLGA8R	5105	18
GOLGA8S	5390	17
GOLGA8T	3389	16
GOLGB1	11379	23
GOLIM4	4343	16
GOLM1	3274	11
GOLPH3	2680	4
GOLPH3L	3176	5
GOLT1A	888	5
GOLT1B	3277	5
GON4L	10655	33
GOPC	4470	8
GORAB	4036	7
GORASP1	4456	12
GORASP2	3223	10
GOSR1	5420	11
GOSR2	6058	9
GOT1	2136	9
GOT1L1	1386	9
GOT2	2320	9
GP1BA	2525	2
GP1BB	960	2
GP2	3465	12
GP5	3495	2
GP6	2326	9
GP9	897	3
GPA33	2809	7
GPAA1	1881	11
GPALPP1	1400	8
GPAM	6389	22
GPANK1	6365	10
GPAT2	2621	20
GPATCH1	3283	19
GPATCH11	3915	9
GPATCH2	7890	11
GPATCH2L	12685	12
GPATCH3	2136	7
GPATCH4	2227	9
GPATCH8	7577	12
GPBAR1	4480	4
GPBP1	4781	14
GPBP1L1	3751	13
GPC1	3695	9
GPC2	2601	10
GPC3	2509	10
GPC4	3723	9
GPC5	2950	8
GPC5-AS1	902	8
GPC5-AS2	418	3
GPC6	7111	9
GPC6-AS1	702	4
GPC6-AS2	658	7
GPCPD1	5479	20
GPD1	3164	9
GPD1L	4070	8
GPD2	6173	18
GPER1	3210	4
GPHA2	751	4
GPHB5	545	3
GPHN	4231	22
GPI	4493	19
GPIHBP1	2527	6
GPKOW	1757	11
GPLD1	5604	23
GPM6A	4485	10
GPM6B	4083	10
GPN1	1876	14
GPN2	1515	5
GPN3	1773	9
GPNMB	2877	12
GPR1	2769	6
GPR1-AS	3714	6
GPR101	1528	1
GPR107	8426	20
GPR108	1917	16
GPR119	1194	1
GPR12	4850	2
GPR132	3875	5
GPR135	1821	1
GPR137	3860	13
GPR137B	2049	7
GPR137C	3895	7
GPR139	1240	2
GPR141	919	1
GPR142	1393	4
GPR143	1594	8
GPR146	2222	4
GPR148	1268	1
GPR149	2327	4
GPR15	1253	1
GPR150	1306	1
GPR151	1261	1
GPR152	1430	1
GPR153	4088	6
GPR155	7617	18
GPR156	4317	10
GPR157	1157	4
GPR158	6566	10
GPR158-AS1	2435	2
GPR160	2017	4
GPR161	9471	12
GPR162	2818	6
GPR17	2603	4
GPR171	1798	3
GPR173	4253	2
GPR174	1259	1
GPR176	4976	6
GPR179	7991	11
GPR18	1664	3
GPR180	8884	9
GPR182	1572	2
GPR183	1787	2
GPR19	1747	4
GPR20	1528	2
GPR21	1597	2
GPR22	2969	3
GPR25	1225	1
GPR26	10307	3
GPR27	1129	1
GPR3	2116	2
GPR31	961	1
GPR32	1270	1
GPR33	1079	2
GPR34	3673	5
GPR35	2794	8
GPR37	3817	2
GPR37L1	2461	2
GPR39	2823	2
GPR4	3049	2
GPR45	1726	1
GPR50	2022	2
GPR52	1473	1
GPR55	3830	2
GPR6	1950	3
GPR61	2826	3
GPR62	2192	1
GPR63	6091	3
GPR65	4524	2
GPR68	3029	3
GPR75	2161	2
GPR75-ASB3	1976	10
GPR78	4717	4
GPR82	3352	3
GPR83	4286	4
GPR84	1511	2
GPR85	5570	6
GPR87	1522	3
GPR88	3467	2
GPR89A	2150	16
GPR89B	2130	14
GPRASP1	6219	7
GPRASP2	7267	7
GPRC5A	2855	4
GPRC5B	3364	5
GPRC5C	2439	5
GPRC5D	1041	3
GPRC6A	3201	7
GPRIN1	4210	2
GPRIN2	1826	3
GPRIN3	6354	2
GPS1	2674	14
GPS2	1087	10
GPSM1	4809	16
GPSM2	3048	15
GPSM3	1909	9
GPT	1897	11
GPT2	4325	14
GPX1	2090	3
GPX2	1503	4
GPX3	1766	5
GPX4	1300	9
GPX5	1457	5
GPX6	1717	5
GPX7	1232	3
GPX8	4581	8
GRAMD1A	2555	19
GRAMD1B	8088	20
GRAMD1C	4018	18
GRAMD2	3304	12
GRAMD3	3541	17
GRAMD4	4119	16
GRAP	2038	5
GRAP2	4289	10
GRAPL	971	4
GRASP	2135	9
GRB10	5206	18
GRB14	3416	16
GRB2	3531	7
GRB7	2719	18
GREB1	10282	35
GREB1L	5541	30
GREM1	8028	5
GREM2	4185	2
GRHL1	3621	16
GRHL2	5149	15
GRHL3	3444	19
GRHPR	1112	8
GRIA1	5981	19
GRIA2	5829	17
GRIA3	5380	17
GRIA4	7439	19
GRID1	5865	16
GRID1-AS1	2105	3
GRID2	5355	16
GRID2IP	4498	21
GRIFIN	450	4
GRIK1	3702	18
GRIK1-AS1	1098	5
GRIK1-AS2	1076	3
GRIK2	4829	18
GRIK3	9235	16
GRIK4	6275	21
GRIK5	4154	19
GRIN1	5456	22
GRIN2A	26197	17
GRIN2B	5792	12
GRIN2C	5342	16
GRIN2D	5106	13
GRIN3A	7780	9
GRIN3B	3263	9
GRINA	2118	8
GRIP1	4561	20
GRIP2	7221	20
GRIPAP1	2735	22
GRK1	2105	7
GRK4	2052	14
GRK5	2435	15
GRK6	4053	17
GRK7	1750	4
GRM1	10542	11
GRM2	3361	6
GRM3	4266	6
GRM4	8409	15
GRM5	8063	10
GRM5-AS1	4827	6
GRM6	6151	10
GRM7	4250	11
GRM7-AS1	433	3
GRM7-AS2	512	2
GRM7-AS3	804	6
GRM8	4191	13
GRN	2359	13
GRP	1422	5
GRPEL1	1508	4
GRPEL2	4109	4
GRPR	2684	3
GRSF1	6781	10
GRTP1	2445	9
GRTP1-AS1	1566	3
GRWD1	2463	7
GRXCR1	996	4
GRXCR2	750	3
GS1-124K5.11	4008	14
GS1-24F4.2	1109	3
GS1-259H13.2	1301	8
GS1-279B7.1	670	4
GS1-594A7.3	576	2
GS1-600G8.3	2266	17
GSAP	2943	26
GSC	1192	3
GSC2	621	3
GSDMA	2176	12
GSDMB	2311	13
GSDMC	2728	14
GSDMD	2475	15
GSE1	7603	17
GSG1	3026	9
GSG1L	5028	8
GSG2	2797	1
GSK3A	2190	11
GSK3B	7130	12
GSKIP	2850	6
GSN	3365	25
GSN-AS1	4764	1
GSPT1	7973	16
GSPT2	2847	1
GSR	3173	13
GSS	1913	13
GSTA1	1266	7
GSTA2	1316	7
GSTA3	920	7
GSTA4	1215	6
GSTA5	851	7
GSTA7P	5698	1
GSTCD	4555	14
GSTK1	1372	9
GSTM1	1193	8
GSTM2	2028	10
GSTM2P1	1137	1
GSTM3	4136	9
GSTM4	1926	9
GSTM5	1578	8
GSTO1	1317	7
GSTO2	1708	8
GSTP1	965	7
GSTT1	1299	7
GSTT2	1539	8
GSTT2B	1099	5
GSTTP1	725	4
GSTTP2	2075	5
GSTZ1	1733	11
GSX1	849	2
GSX2	1214	2
GTDC1	4905	17
GTF2A1	6498	11
GTF2A1L	1711	9
GTF2A2	1587	5
GTF2B	1652	7
GTF2E1	3038	5
GTF2E2	1544	8
GTF2F1	2564	13
GTF2F2	1461	8
GTF2H1	3531	16
GTF2H2	1967	16
GTF2H2B	4389	15
GTF2H2C	2121	16
GTF2H2C_2	1820	17
GTF2H3	3430	13
GTF2H4	1730	14
GTF2H5	7489	3
GTF2I	3519	25
GTF2IP1	3026	16
GTF2IP20	2958	11
GTF2IP4	2617	15
GTF2IRD1	3001	23
GTF2IRD1P1	2240	8
GTF2IRD2	5742	15
GTF2IRD2B	3307	13
GTF3A	1413	9
GTF3C1	7406	36
GTF3C2	3978	20
GTF3C2-AS1	665	3
GTF3C3	4942	19
GTF3C4	3870	5
GTF3C5	2453	12
GTF3C6	956	6
GTPBP1	5059	12
GTPBP10	7552	10
GTPBP2	3114	13
GTPBP3	3284	12
GTPBP4	2365	15
GTPBP6	1195	6
GTPBP8	1363	6
GTSCR1	601	3
GTSE1	3124	12
GTSE1-AS1	1519	1
GTSF1	821	9
GTSF1L	1612	3
GUCA1A	1910	6
GUCA1B	2274	4
GUCA1C	929	4
GUCA2A	578	3
GUCA2B	600	3
GUCD1	6740	9
GUCY1A2	16228	9
GUCY1A3	11225	17
GUCY1B2	3039	17
GUCY1B3	3991	18
GUCY2C	3869	27
GUCY2D	3643	20
GUCY2EP	2432	19
GUCY2F	3628	19
GUCY2GP	2882	18
GUF1	4233	17
GUK1	1291	11
GULP1	4614	15
GUSB	2769	14
GUSBP1	6085	11
GUSBP10	982	4
GUSBP11	3428	12
GUSBP2	1209	9
GUSBP3	1557	6
GUSBP4	2625	11
GUSBP5	1990	1
GUSBP9	614	4
GVINP1	8731	1
GXYLT1	7496	8
GXYLT1P3	3953	5
GXYLT2	1551	7
GYG1	2030	8
GYG2	3407	12
GYG2P1	829	5
GYLTL1B	2876	17
GYPA	2702	7
GYPB	519	5
GYPC	2072	5
GYPE	1889	5
GYS1	3634	16
GYS2	3148	16
GZF1	4746	5
GZMA	901	5
GZMB	931	5
GZMH	1043	6
GZMK	1050	5
GZMM	1100	6
H19	3217	7
H1F0	2331	1
H1FNT	1301	1
H1FOO	1271	6
H1FX	1508	1
H1FX-AS1	2198	5
H2AFB1	518	1
H2AFB2	595	1
H2AFB3	518	1
H2AFJ	7023	3
H2AFV	4710	6
H2AFX	1594	1
H2AFY	2274	12
H2AFY2	2188	9
H2AFZ	952	5
H2BFM	1885	3
H2BFWT	897	3
H2BFXP	983	4
H3F3A	1066	4
H3F3AP4	1046	4
H3F3B	2865	4
H3F3C	1058	1
H6PD	9296	6
HAAO	1294	10
HABP2	2872	12
HABP4	2673	8
HACD1	1314	7
HACD2	1194	7
HACD3	3219	11
HACD4	1423	7
HACE1	4473	23
HACL1	2304	17
HADH	2042	9
HADHA	3057	20
HADHB	2052	14
HAGH	1620	10
HAGHL	1924	11
HAGLR	5287	12
HAGLROS	675	2
HAL	3934	21
HAMP	429	3
HAND1	1740	2
HAND2	2370	2
HAND2-AS1	770	4
HAO1	1754	8
HAO2	1710	9
HAO2-IT1	312	2
HAP1	4050	12
HAPLN1	4683	5
HAPLN2	1778	7
HAPLN3	2128	6
HAPLN4	3443	5
HAR1A	2796	2
HAR1B	898	2
HARBI1	1525	3
HARS	2813	15
HARS2	2699	14
HAS1	2807	6
HAS2	3279	4
HAS2-AS1	2291	4
HAS3	4903	7
HAT1	1575	10
HAUS1	1350	10
HAUS2	3950	6
HAUS3	2441	6
HAUS4	1868	11
HAUS5	4194	18
HAUS6	6405	18
HAUS7	2625	16
HAUS8	1418	11
HAVCR1	2160	11
HAVCR1P1	1256	1
HAVCR2	2437	7
HAX1	1306	8
HBA1	609	3
HBA2	608	3
HBB	629	3
HBBP1	662	3
HBD	777	3
HBE1	819	3
HBEGF	2364	6
HBG1	587	3
HBG2	586	3
HBM	513	3
HBP1	2765	11
HBQ1	656	3
HBS1L	9122	17
HBZ	592	3
HCAR1	2978	1
HCAR2	2066	1
HCAR3	2138	1
HCCAT5	1081	3
HCCS	2678	9
HCFC1	8290	25
HCFC1-AS1	790	3
HCFC1R1	2082	10
HCFC2	5750	15
HCG11	5680	1
HCG14	613	3
HCG17	905	6
HCG18	25715	12
HCG2040054	437	3
HCG22	5689	8
HCG23	864	4
HCG25	901	6
HCG26	1181	1
HCG27	1845	3
HCG4	4065	2
HCG4B	12954	5
HCG8	5474	5
HCG9	1052	4
HCK	2399	16
HCLS1	1855	12
HCN1	9677	8
HCN2	3416	8
HCN3	4897	10
HCN4	7236	8
HCP5	4006	3
HCRT	579	2
HCRTR1	2010	9
HCRTR2	1823	7
HCST	661	5
HDAC1	1995	13
HDAC10	2726	20
HDAC11	3081	12
HDAC11-AS1	511	2
HDAC2	6835	15
HDAC3	1960	15
HDAC4	8746	25
HDAC5	5125	26
HDAC6	3628	25
HDAC7	4192	25
HDAC8	4006	14
HDAC9	10913	33
HDC	2654	12
HDDC2	1621	6
HDDC3	1755	6
HDGF	2810	8
HDGFL1	1074	1
HDGFRP2	2395	17
HDGFRP3	2440	6
HDHD1	2544	7
HDHD2	2192	7
HDHD3	2198	5
HDLBP	5617	24
HDX	6198	10
HEATR1	7731	40
HEATR3	2623	15
HEATR4	3489	17
HEATR5A	7698	35
HEATR5B	6694	35
HEATR6	3831	19
HEATR9	1926	14
HEBP1	1212	4
HEBP2	1286	4
HECA	5625	4
HECTD1	8782	40
HECTD2	6763	25
HECTD2-AS1	1028	5
HECTD3	3566	20
HECTD4	13714	64
HECW1	6869	30
HECW2	7271	30
HEG1	9173	17
HEIH	1666	1
HELB	3625	14
HELLS	3464	26
HELQ	6710	21
HELT	1383	5
HELZ	13695	30
HELZ2	10934	21
HEMGN	2593	6
HEMK1	5872	11
HENMT1	2050	9
HEPACAM	3552	7
HEPACAM2	2719	12
HEPH	5256	20
HEPHL1	5475	17
HEPN1	1429	1
HERC1	12643	62
HERC2	12799	76
HERC2P10	643	5
HERC2P2	5794	33
HERC2P3	3836	23
HERC2P4	2722	14
HERC2P7	1767	3
HERC2P9	2961	14
HERC3	4922	25
HERC4	6064	26
HERC5	3463	22
HERC6	3912	23
HERPUD1	2198	10
HERPUD2	2919	9
HES1	1465	4
HES2	4264	4
HES3	701	4
HES4	1918	6
HES5	1309	3
HES6	1578	6
HES7	3120	5
HESX1	1177	4
HEXA	2451	14
HEXA-AS1	2677	1
HEXB	2452	15
HEXDC	2234	12
HEXIM1	4786	1
HEXIM2	4746	9
HEY1	2669	7
HEY2	2677	5
HEYL	4119	5
HFE	3221	8
HFE2	2257	5
HFM1	4433	33
HGC6.3	1017	1
HGD	2024	14
HGF	4447	20
HGFAC	2149	15
HGH1	2537	6
HGS	2994	22
HGSNAT	4921	15
HHAT	3976	14
HHATL	2013	14
HHEX	1763	4
HHIP	3568	13
HHIP-AS1	1134	2
HHIPL1	3915	10
HHIPL2	2583	9
HHLA1	3890	13
HHLA2	3018	14
HHLA3	1557	6
HIAT1	2649	12
HIATL1	3310	12
HIATL2	791	5
HIBADH	2006	8
HIBCH	1953	14
HIC1	3197	3
HIC2	6799	3
HID1	3135	17
HID1-AS1	833	3
HIF1A	4603	17
HIF1A-AS1	654	2
HIF1A-AS2	2052	1
HIF1AN	6920	8
HIF3A	6261	18
HIGD1A	3187	6
HIGD1B	907	5
HIGD1C	297	3
HIGD2A	613	2
HIGD2B	1120	3
HILPDA	1495	3
HILS1	1955	3
HINFP	3283	11
HINT1	1518	7
HINT2	657	5
HINT3	3384	5
HIP1	7866	29
HIP1R	5465	31
HIPK1	8773	20
HIPK1-AS1	2287	6
HIPK2	15368	16
HIPK3	8007	18
HIPK4	2490	4
HIRA	3768	23
HIRIP3	3055	7
HIST1H1A	782	1
HIST1H1B	791	1
HIST1H1C	733	1
HIST1H1D	778	1
HIST1H1E	786	1
HIST1H1T	726	1
HIST1H2AA	501	1
HIST1H2AB	478	1
HIST1H2AC	547	1
HIST1H2AD	511	1
HIST1H2AE	565	1
HIST1H2AG	499	1
HIST1H2AH	482	1
HIST1H2AI	470	1
HIST1H2AJ	440	1
HIST1H2AK	461	1
HIST1H2AL	471	1
HIST1H2AM	488	1
HIST1H2APS1	430	1
HIST1H2BA	438	1
HIST1H2BB	432	1
HIST1H2BC	439	1
HIST1H2BD	1303	3
HIST1H2BE	436	1
HIST1H2BF	431	1
HIST1H2BG	446	1
HIST1H2BH	426	1
HIST1H2BI	438	1
HIST1H2BJ	482	1
HIST1H2BK	841	2
HIST1H2BL	454	1
HIST1H2BM	447	1
HIST1H2BN	450	1
HIST1H2BO	468	1
HIST1H3A	470	1
HIST1H3B	473	1
HIST1H3C	460	1
HIST1H3D	923	2
HIST1H3E	463	1
HIST1H3F	467	1
HIST1H3G	468	1
HIST1H3H	474	1
HIST1H3I	478	1
HIST1H3J	479	1
HIST1H4A	373	1
HIST1H4B	358	1
HIST1H4C	391	1
HIST1H4D	368	1
HIST1H4E	378	1
HIST1H4F	369	1
HIST1H4G	368	1
HIST1H4H	375	1
HIST1H4I	371	1
HIST1H4J	357	1
HIST1H4K	355	1
HIST1H4L	365	1
HIST2H2AA3	535	1
HIST2H2AA4	535	1
HIST2H2AB	449	1
HIST2H2AC	438	1
HIST2H2BA	517	2
HIST2H2BC	583	1
HIST2H2BE	2224	1
HIST2H2BF	1497	3
HIST2H3A	508	1
HIST2H3C	508	1
HIST2H3D	458	1
HIST2H4A	397	1
HIST2H4B	397	1
HIST3H2A	497	1
HIST3H2BB	453	1
HIST3H3	482	1
HIST4H4	413	1
HIVEP1	8883	9
HIVEP2	9734	10
HIVEP3	19436	15
HJURP	3198	9
HK1	3288	17
HK2	6065	11
HK3	2191	13
HKDC1	2811	12
HKR1	2935	6
HLA-A	2030	13
HLA-B	1386	9
HLA-C	3027	17
HLA-DMA	1386	6
HLA-DMB	1403	6
HLA-DOA	8809	7
HLA-DOB	1378	6
HLA-DPA1	2527	11
HLA-DPB1	7208	7
HLA-DPB2	810	5
HLA-DQA1	1547	5
HLA-DQA2	1332	6
HLA-DQB1	2647	8
HLA-DQB2	1239	6
HLA-DRA	2481	8
HLA-DRB1	3787	21
HLA-DRB3	1164	6
HLA-DRB4	1195	6
HLA-DRB5	1174	6
HLA-DRB6	1576	8
HLA-E	2393	7
HLA-F	1625	10
HLA-F-AS1	1911	6
HLA-G	1666	9
HLA-H	2354	12
HLA-J	1836	8
HLA-L	5042	9
HLCS	7383	15
HLF	5603	4
HLTF	6698	26
HLTF-AS1	418	3
HLX	2282	4
HLX-AS1	566	3
HM13	3647	14
HM13-AS1	492	3
HMBOX1	3530	12
HMBS	1764	14
HMCES	1866	8
HMCN1	12337	67
HMCN2	10550	61
HMG20A	4179	11
HMG20B	1594	10
HMGA1	2760	9
HMGA1P7	2191	2
HMGA2	5601	8
HMGB1	3431	5
HMGB2	1917	7
HMGB3	4074	8
HMGB3P1	889	1
HMGB4	2975	4
HMGCL	1617	9
HMGCLL1	4694	11
HMGCR	4335	18
HMGCS1	5334	10
HMGCS2	2349	9
HMGN1	1310	6
HMGN2	1975	6
HMGN2P46	1933	6
HMGN3	2189	8
HMGN3-AS1	2995	2
HMGN4	1970	2
HMGN5	1963	5
HMGXB3	5193	18
HMGXB4	4156	11
HMHA1	6686	22
HMHB1	386	2
HMMR	3207	19
HMMR-AS1	1273	4
HMOX1	1595	5
HMOX2	2902	12
HMP19	2457	5
HMSD	629	4
HMX1	2148	3
HMX2	1630	2
HMX3	1076	2
HN1	3287	10
HN1L	3688	5
HNCAT21	1221	2
HNF1A	3593	11
HNF1A-AS1	2456	1
HNF1B	3006	10
HNF4A	5688	14
HNF4A-AS1	652	4
HNF4G	4103	10
HNMT	4186	8
HNRNPA0	2968	1
HNRNPA1	1685	9
HNRNPA1L2	2230	6
HNRNPA1P10	1272	9
HNRNPA1P33	543	1
HNRNPA2B1	3714	12
HNRNPA3	5695	10
HNRNPA3P1	3007	1
HNRNPAB	1824	8
HNRNPC	3337	10
HNRNPCL1	1172	2
HNRNPCL2	1158	2
HNRNPCL3	1007	1
HNRNPCL4	929	1
HNRNPD	2266	9
HNRNPDL	4254	9
HNRNPF	3455	8
HNRNPH1	2380	15
HNRNPH2	2570	3
HNRNPH3	2563	11
HNRNPK	4412	19
HNRNPKP3	1884	2
HNRNPL	2173	14
HNRNPLL	3393	15
HNRNPM	3095	21
HNRNPR	8058	12
HNRNPU	7713	15
HNRNPU-AS1	5047	2
HNRNPUL1	4102	16
HNRNPUL2	5161	14
HNRNPUL2-BSCL2	3956	23
HOGA1	2489	7
HOMER1	4163	8
HOMER2	1951	9
HOMER3	3011	13
HOMEZ	3743	2
HOOK1	5737	21
HOOK2	2432	21
HOOK3	14231	20
HOPX	2082	7
HORMAD1	1913	15
HORMAD2	1906	11
HORMAD2-AS1	1157	5
HOTAIR	2848	9
HOTAIRM1	1047	3
HOTS	3888	1
HOTTIP	4668	3
HOXA-AS2	1052	4
HOXA-AS3	4172	4
HOXA1	3094	4
HOXA10	3190	3
HOXA10-AS	1164	3
HOXA10-HOXA9	2113	3
HOXA11	2655	2
HOXA11-AS	1551	2
HOXA13	2516	2
HOXA2	1780	2
HOXA3	3481	5
HOXA4	1730	2
HOXA5	1659	2
HOXA6	804	2
HOXA7	2017	2
HOXA9	2059	2
HOXB-AS1	804	7
HOXB-AS3	1684	9
HOXB1	1016	2
HOXB13	3038	2
HOXB2	1604	2
HOXB3	3622	4
HOXB4	2035	2
HOXB5	1823	2
HOXB6	1680	4
HOXB7	1368	2
HOXB8	1825	2
HOXB9	2702	2
HOXC-AS1	550	2
HOXC-AS2	507	3
HOXC-AS3	371	3
HOXC10	1961	2
HOXC11	2039	2
HOXC12	851	2
HOXC13	2398	2
HOXC13-AS	1411	3
HOXC4	2796	5
HOXC5	2178	3
HOXC6	2594	4
HOXC8	2290	2
HOXC9	1543	2
HOXD-AS2	695	3
HOXD1	1977	2
HOXD10	1806	2
HOXD11	1465	2
HOXD12	815	2
HOXD13	2329	2
HOXD3	2302	3
HOXD4	1298	2
HOXD8	4193	5
HOXD9	1887	2
HP	1259	5
HP09025	4194	2
HP09053	2021	3
HP1BP3	3773	12
HPCA	1410	4
HPCAL1	2750	10
HPCAL4	5169	6
HPD	1915	16
HPDL	1803	1
HPGD	3305	8
HPGDS	1621	6
HPN	2601	15
HPN-AS1	4667	7
HPR	1247	5
HPRT1	1424	9
HPS1	4233	21
HPS3	4146	17
HPS4	5937	18
HPS5	4946	24
HPS6	2673	1
HPSE	4992	14
HPSE2	4432	13
HPVC1	1199	1
HPX	1633	10
HPYR1	983	1
HR	5252	17
HRAS	1648	8
HRASLS	1067	4
HRASLS2	746	4
HRASLS5	3425	8
HRAT13	2412	3
HRAT17	713	6
HRAT5	834	2
HRAT56	3203	10
HRAT92	3509	3
HRC	2390	6
HRCT1	951	1
HRG	2010	7
HRH1	4824	6
HRH2	5653	4
HRH3	2683	3
HRH4	6783	4
HRK	1844	5
HRNR	9635	3
HRSP12	1017	6
HS1BP3	2410	7
HS1BP3-IT1	602	2
HS2ST1	7371	8
HS3ST1	1967	2
HS3ST2	1954	2
HS3ST3A1	4201	2
HS3ST3B1	7482	4
HS3ST4	3205	2
HS3ST5	2746	2
HS3ST6	1157	2
HS6ST1	3954	2
HS6ST2	4573	6
HS6ST2-AS1	552	3
HS6ST3	7806	2
HSBP1	1993	4
HSBP1L1	754	4
HSCB	1094	6
HSD11B1	1825	9
HSD11B1L	2960	12
HSD11B2	1887	5
HSD17B1	2237	6
HSD17B10	886	6
HSD17B11	1894	7
HSD17B12	2556	11
HSD17B13	2404	7
HSD17B14	1246	9
HSD17B2	1439	5
HSD17B3	1145	11
HSD17B4	2985	25
HSD17B6	1623	5
HSD17B7	2190	11
HSD17B7P2	1309	7
HSD17B8	1004	9
HSD3B1	1684	4
HSD3B2	1875	5
HSD3B7	2457	7
HSD3BP4	8698	1
HSD52	1046	3
HSDL1	3957	8
HSDL2	3284	10
HSF1	2027	12
HSF2	2987	14
HSF2BP	1803	8
HSF4	2758	16
HSF5	4117	6
HSFX1	1957	2
HSFX2	1964	2
HSFY1	2911	8
HSFY1P1	1383	2
HSFY2	2927	8
HSH2D	4974	14
HSP90AA1	4087	13
HSP90AB1	3251	16
HSP90AB4P	3136	1
HSP90B1	2641	16
HSP90B2P	2753	1
HSPA12A	5628	11
HSPA12B	3044	12
HSPA13	3991	5
HSPA14	6266	16
HSPA1A	2430	1
HSPA1B	10085	4
HSPA1L	2539	2
HSPA2	2770	1
HSPA4	3269	18
HSPA4L	3154	18
HSPA5	3978	8
HSPA6	2359	1
HSPA7	2494	1
HSPA8	2872	11
